"GEO_ID","id",
"NAME","Geographic Area Name",
"P003001","Total",
"P003002","Total!!White alone",
"P003003","Total!!Black or African American alone",
"P003004","Total!!American Indian and Alaska Native alone",
"P003005","Total!!Asian alone",
"P003006","Total!!Native Hawaiian and Other Pacific Islander alone",
"P003007","Total!!Some Other Race alone",
"P003008","Total!!Two or More Races",
